date,income,expenses,investments,tax_liability
2025-02-15,311693,103553,84475,11628.0
2025-02-16,435469,222506,96412,12592.6
2025-02-17,3022445,1579188,595156,258651.4
2025-02-18,2955428,797492,514048,401587.2
2025-02-19,2404913,323880,428405,386206.6
2025-02-20,4603550,2496904,451758,391329.2
2025-02-21,4495230,1455655,890291,577915.0
2025-02-22,3086086,305102,66514,526196.8
2025-02-23,2000694,101127,528496,349913.4
2025-02-24,1696105,911853,198122,126850.4
2025-02-25,3420309,1558700,119085,342321.8
2025-02-26,2562352,1117804,404414,258909.6
2025-02-27,4283813,146107,647257,797541.2
2025-02-28,4029982,1685261,869027,438944.2
2025-03-01,2473615,364288,412768,391865.4
2025-03-02,4228695,233111,375591,769116.8
2025-03-03,4360126,1060115,102142,630002.2
2025-03-04,1574749,803032,386397,124343.4
2025-03-05,2429634,325020,278065,390922.8
2025-03-06,4774959,1234896,1219468,678012.6
2025-03-07,985291,223045,112788,122449.2
2025-03-08,2276057,1307993,501011,163612.8
2025-03-09,1267708,485277,154481,126486.2
2025-03-10,1434734,583227,334760,140301.4
2025-03-11,376590,100230,64591,25272.0
2025-03-12,4731439,2464130,766449,423461.8
2025-03-13,2448159,1361052,256831,187421.4
2025-03-14,3175241,1115060,870340,382036.2
2025-03-15,3639855,1313583,289624,435254.4
2025-03-16,3278834,354485,832474,554869.8
2025-03-17,3734643,1591236,1093837,398681.4
2025-03-18,4395483,247993,732811,799498.0
2025-03-19,2305668,850462,228446,261041.2
2025-03-20,2806241,1598462,327510,211555.8
2025-03-21,2100474,1112980,326740,167498.8
2025-03-22,1512349,829515,192688,106566.8
2025-03-23,4566133,1571510,104337,568924.6
2025-03-24,1289917,179679,279577,192047.6
2025-03-25,2387457,417510,468854,363989.4
2025-03-26,1577012,600987,404790,165205.0
2025-03-27,741568,338538,111896,50606.0
2025-03-28,3940074,1215004,204674,515014.0
2025-03-29,1852325,764718,538146,187521.4
2025-03-30,2206376,745754,639631,262124.4
2025-03-31,1915696,478211,548354,257497.0
2025-04-01,2224077,848752,118185,245065.0
2025-04-02,4719011,2505106,1227786,412781.0
2025-04-03,3660481,394102,511705,623275.8
2025-04-04,748825,350665,161275,49632.0
2025-04-05,3210217,1097877,166165,392468.0
2025-04-06,4288141,400771,826541,747474.0
2025-04-07,4300115,1070882,1182947,615846.6
2025-04-08,3845552,549042,658350,629302.0
2025-04-09,541992,126231,56259,53152.2
2025-04-10,4847218,2009167,442629,537610.2
2025-04-11,1050495,308204,158452,118458.2
2025-04-12,2152605,734273,578955,253666.4
2025-04-13,806385,478205,188262,35636.0
2025-04-14,538224,230502,55267,31544.4
2025-04-15,3606262,779813,385079,535289.8
2025-04-16,4744268,1467836,847737,625286.4
2025-04-17,2382519,963434,616611,253817.0
2025-04-18,968661,119710,123195,139790.2
2025-04-19,3655364,1941684,835679,312736.0
2025-04-20,2945615,1096100,551834,339903.0
2025-04-21,4426295,2379319,962612,379395.2
2025-04-22,1121382,105973,218243,173081.8
2025-04-23,1846126,135235,303439,312178.2
2025-04-24,837728,266528,52408,84240.0
2025-04-25,338024,190664,86869,0
2025-04-26,3931242,1483862,1047855,459476.0
2025-04-27,4056049,586215,1029727,663966.8
2025-04-28,2519590,1220996,355976,229718.8
2025-04-29,364298,204027,80007,2054.2
2025-04-30,2021195,838124,360892,206614.2
2025-05-01,2852012,929197,382278,354563.0
2025-05-02,4019702,2132443,568042,347451.8
2025-05-03,4606245,2025963,334307,486056.4
2025-05-04,1780022,497816,422891,226441.2
2025-05-05,1830813,175976,547198,300967.4
2025-05-06,3354689,1782418,305411,284454.2
2025-05-07,2594831,699263,364285,349113.6
2025-05-08,1652862,349029,348836,230766.6
2025-05-09,4621840,2155413,478453,463285.4
2025-05-10,361081,166784,78970,8859.4
2025-05-11,796102,268169,190678,75586.6
2025-05-12,2956512,111291,875754,539044.2
2025-05-13,855434,156368,104039,109813.2
2025-05-14,3407744,1315100,365380,388528.8
2025-05-15,3208723,1094335,395872,392877.6
2025-05-16,4971304,719380,936839,820384.8
2025-05-17,537768,160345,144620,45484.6
2025-05-18,560132,170033,150918,48019.8
2025-05-19,3284797,1379633,564528,351032.8
2025-05-20,522425,208508,150811,32783.4
2025-05-21,631644,152648,175004,65799.2
2025-05-22,824439,485005,143316,37886.8
2025-05-23,653925,175925,60109,65600.0
2025-05-24,1901807,369413,393584,276478.8
2025-05-25,3122647,224866,897603,549556.2
2025-05-26,3087854,1448776,560009,297815.6
2025-05-27,3577856,1158032,424060,453964.8
2025-05-28,659995,103389,114423,81321.2
2025-05-29,1857617,262139,373520,289095.6
2025-05-30,1251664,245920,261005,171148.8
2025-05-31,3121889,287236,783883,536930.6
2025-06-01,2732282,1253914,266539,265673.6
2025-06-02,723959,313299,50522,52132.0
2025-06-03,1929419,506802,387290,254523.4
2025-06-04,3512374,157821,944100,640910.6
2025-06-05,3055637,1704322,517608,240263.0
2025-06-06,2944459,222038,863975,514484.2
2025-06-07,4969229,147042,1158082,934437.4
2025-06-08,706945,340446,145796,43299.8
2025-06-09,1137370,164553,203235,164563.4
2025-06-10,577873,341945,157066,17185.6
2025-06-11,1056081,546603,242365,71895.6
2025-06-12,1889866,248963,411257,298180.6
2025-06-13,329849,153334,95685,5303.0
2025-06-14,3102092,1122879,274618,365842.6
2025-06-15,2300260,833543,157051,263343.4
2025-06-16,4724914,1166623,1094560,681658.2
2025-06-17,724919,210948,197854,72794.2
2025-06-18,1793477,1009662,472101,126763.0
2025-06-19,3231709,1861430,423970,244055.8
2025-06-20,3357018,680686,831040,505266.4
2025-06-21,1725066,798630,195885,155287.2
2025-06-22,3005887,247936,796551,521590.2
2025-06-23,3492426,969112,117198,474662.8
2025-06-24,3024969,437256,259458,487542.6
2025-06-25,497167,162103,97010,37012.8
2025-06-26,366465,146352,51680,14022.6
2025-06-27,3436706,1553658,551773,346609.6
2025-06-28,2371723,132249,413711,417894.8
2025-06-29,3210500,483511,81609,515397.8
2025-06-30,1154376,620114,52370,76852.4
2025-07-01,2735911,909428,755241,335296.6
2025-07-02,1913949,109099,327797,330970.0
2025-07-03,3981655,1091407,573560,548049.6
2025-07-04,4882741,1209828,127027,704582.6
2025-07-05,4265534,373777,1035053,748351.4
2025-07-06,1424846,731271,216686,108715.0
2025-07-07,4444482,1285935,1196481,601709.4
2025-07-08,2978689,786768,869045,408384.2
2025-07-09,2414235,109768,676688,430893.4
2025-07-10,769038,278175,125815,68172.6
2025-07-11,2164629,1234232,589328,156079.4
2025-07-12,4217544,1526760,502252,508156.8
2025-07-13,1884097,1043611,97694,138097.2
2025-07-14,2406519,490039,202151,353296.0
2025-07-15,1946521,289589,122999,301386.4
2025-07-16,2233931,792610,66077,258264.2
2025-07-17,4244818,1216989,286228,575565.8
2025-07-18,2631478,481846,583045,399926.4
2025-07-19,555773,137177,155095,53719.2
